"","Line","Trial","Survival","Experiment"
"132","VIR13031","SP15",70,"VIR"
"133","VIR13031","CR16",0,"VIR"
"134","VIR13031","SP16",0,"VIR"
"135","VIR13031","AB16",100,"VIR"
"136","VIR13031","AL16",90,"VIR"
"137","VIR13031","BZ16",100,"VIR"
"138","VIR13031","IT16",98,"VIR"
"139","VIR13031","ME16",50,"VIR"
"140","VIR13031","RM19",80,"VIR"
"141","VIR13033","CR15",0,"VIR"
"142","VIR13033","SP15",60,"VIR"
"143","VIR13033","CR16",0,"VIR"
"144","VIR13033","SP16",0,"VIR"
"145","VIR13033","AB16",10,"VIR"
"146","VIR13033","AL16",40,"VIR"
"147","VIR13033","BZ16",100,"VIR"
"148","VIR13033","IT16",100,"VIR"
"149","VIR13033","ME16",60,"VIR"
"150","VIR13033","RM19",100,"VIR"
"151","VIR13034","CR15",0,"VIR"
"152","VIR13034","SP15",60,"VIR"
"153","VIR13034","CR16",0,"VIR"
"154","VIR13034","SP16",0,"VIR"
"155","VIR13034","AB16",30,"VIR"
"156","VIR13034","AL16",70,"VIR"
"157","VIR13034","BZ16",100,"VIR"
"158","VIR13034","IT16",85,"VIR"
"159","VIR13034","ME16",60,"VIR"
"160","VIR13034","RM19",100,"VIR"
"161","VIR13038","CR15",0,"VIR"
"162","VIR13038","SP15",60,"VIR"
"163","VIR13038","CR16",0,"VIR"
"164","VIR13038","SP16",0,"VIR"
"165","VIR13038","AB16",90,"VIR"
"166","VIR13038","AL16",80,"VIR"
"167","VIR13038","BZ16",100,"VIR"
"168","VIR13038","IT16",100,"VIR"
"169","VIR13038","ME16",20,"VIR"
"170","VIR13038","RM19",100,"VIR"
"171","VIR13047","CR15",0,"VIR"
"172","VIR13047","SP15",60,"VIR"
"173","VIR13047","CR16",0,"VIR"
"174","VIR13047","SP16",0,"VIR"
"175","VIR13047","AB16",20,"VIR"
"176","VIR13047","AL16",60,"VIR"
"177","VIR13047","BZ16",100,"VIR"
"178","VIR13047","IT16",70,"VIR"
"179","VIR13047","ME16",70,"VIR"
