"","Type","Species","Genotype","Survival","Freshratm","SLAm","Aream","Crown_Lm","Crown_Dm","LTM_CEA","LT_CEA","LTR_CEA","Lengthm","Widthm","SDL_CEA","SDS_CEA","C_CEA","S_CEA","R_CEA","Diam","LTM_MX","LT_MX","LTR_MX","AR_MX","STMaj_MX","Cric_MX","SR_ratio","Per_Shoot","Per_Root","Survival2"
"1","Facilitative","Barley","DH130004",3,0.136256879531137,376.797513890748,12.0635,20.8,5.45,0.800833333333333,0.265833333333333,0.338667568346572,18.8137791304738,0.846083333333333,1.73566666666667,1.82033333333333,33.3800251466575,0,66.6199748533425,0.0268333333333333,0.91,0.265555555555556,0.297888974397921,1.73883333333333,0.0493981481481481,0.806231481481481,2.9210526315,0.02725,0.079708333335,3.2
"2","Facilitative","Barley","Maja",7,0.144451928254588,342.382600089284,13.951,19.725,5.275,0.881666666666667,0.290833333333333,0.345324242319928,18.8273751897807,0.969583333333333,2.17311111111111,1.79211111111111,36.6419473771704,0,63.3580526228296,0.0237333333333333,0.935555555555556,0.32,0.346067352132872,1.57474122807018,0.0469928849902534,0.848131091617934,2.4552238805,0.0204,0.0466,7.1
"3","Facilitative","Barley","MN-Equinox",7,0.143371899718827,355.082654745945,14.6224166666667,27.475,5.375,0.818333333333333,0.281666666666667,0.367865373934967,20.2427992724043,0.938083333333333,1.86266666666667,1.9685,36.7987837344059,0,63.2012162655941,0.0226166666666667,0.89,0.275555555555556,0.319023344061749,1.71768518518519,0.0481018518518519,0.819842592592593,2.475765306,0.013325,0.03315,5.3
"4","Facilitative","Barley","VIR17625",7,0.134746149634243,376.407664058529,15.1574166666667,25.95,5.375,0.883333333333333,0.289166666666667,0.329986299337041,20.7471783020696,0.968083333333333,1.79916666666667,1.87325,36.3143319375323,0,63.6856680624677,0.0241,0.948888888888889,0.306666666666667,0.326427392152678,1.82385185185185,0.0457407407407407,0.788268518518519,1.496491228,0.0361,0.0542,6.5
"5","Perennial","H. brach","W654332(18)",9,0.159541177213591,618.9125,1.01416666666667,15.275,1.175,0.221666666666667,0.125,0.546989725956164,6.78108136674459,0.201833333333333,0.60325,0.3175,5.78402773242777,3.18275394739525,91.033218320177,0.0142222222222222,0.256666666666667,0.162222222222222,0.624099127417205,2.3852962962963,0.0491944444444444,0.693925925925926,3.625,0.00083333333335,0.0029166666665,9
"6","Perennial","H. brev","PI639695(WB7)",9,0.144272477605811,545.151875901876,2.02844444444444,12.3333333333333,2.33333333333333,0.292222222222222,0.178888888888889,0.613795027362727,8.10656830621198,0.312055555555556,0.592666666666667,0.691444444444444,10.9707895841462,0,89.0292104158538,0.0208333333333333,0.273333333333333,0.157777777777778,0.57536627104503,2.43357407407407,0.0460648148148148,0.68512962962963,2,0.001,0.002,9
"7","Perennial","H. jub","W646346 (11)",9,0.172537878787879,481.119047619048,1.0015,13.9,1.45,0.265,0.131666666666667,0.495287885385435,7.91181166561604,0.17325,0.47625,0.508,6.10638934836789,9.15749411514021,84.7361165364919,0.0149722222222222,0.246666666666667,0.143333333333333,0.583516483516484,2.4259696969697,0.0466717171717172,0.685535353535354,2,0.001,0.002,9
"8","Perennial","H. stenostachys","PI266195(WB5)",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"9","Spring","Barley","AAC Synergy",1,0.139471006281313,351.626694492892,15.06675,22.775,5.625,0.8925,0.293333333333333,0.339818363043007,22.1419902721625,0.892,2.07433333333333,1.778,37.5999475214058,0,62.4000524785942,0.0275833333333333,0.972222222222222,0.316666666666667,0.338808582766667,1.97584907407407,0.0507472222222222,0.777446296296296,2.261627907,0.01985,0.045525,1.2
"10","Spring","Barley","Chevron",1,0.130683167004112,390.552878568008,12.4635833333333,15.7,5.975,0.885833333333333,0.265,0.313710216335159,19.3955108061483,0.87525,2.01083333333333,2.04258333333333,33.2599149438328,0,66.7400850561672,0.0234,0.947777777777778,0.272222222222222,0.293813824384036,1.79016875,0.0487793981481481,0.806684722222222,2.7670328735,0.0217,0.0595,1.2
"11","Spring","Barley","Conlon",1,0.128317600029344,372.158315448676,14.2790833333333,22.45,6.1,0.98,0.281666666666667,0.292394091718766,21.0538607276654,0.9255,1.88383333333333,2.10608333333333,35.8165123680517,0,64.1834876319483,0.0283555555555556,0.803333333333333,0.268888888888889,0.349572285253401,1.78168518518519,0.0480648148148148,0.802740740740741,3.1232142855,0.013666666665,0.042791666665,1.2
"12","Spring","Barley","Emir",1,0.130887287237253,346.667631688398,12.2799166666667,18.8,5.625,1.06833333333333,0.298333333333333,0.287420394865352,19.6030802744948,0.820416666666667,1.9685,1.778,34.5800467089533,0,65.4199532910467,0.0253777777777778,0.955555555555555,0.296666666666667,0.3281448471411,1.57203703703704,0.04575,0.827972222222222,2.4721445225,0.02545,0.062675,1.2
"13","Spring","Barley","KWS Amadora",1,0.144338866381148,339.055337454308,13.8079583333333,19.5,5.375,0.940833333333333,0.294166666666667,0.33879477912838,21.8416511068308,0.873625,1.905,1.52875,37.0254002709994,0,62.9745997290006,0.0310333333333333,1.02444444444444,0.332222222222222,0.330776588337694,1.84185185185185,0.0529907407407407,0.791259259259259,2.736550633,0.0191,0.0519,1.2
